ID x y V BV pmRA pmDE
103 1220.98 1062.79 20.84 1.46 0.6930049267864165 3.265993740723253
1014 1200.78 938.09 20.87 1.48 0.8755038388215322 3.568000794640979
1015 978.93 930.42 20.46 1.54 0.4424494586157872 3.0939656354460983
1019 1020.1 892.88 20.67 1.19 1.028308215448098 3.385536756385542
1020 1032.26 1056.5 20.52 1.54 0.9676242078950108 3.821145789778526
1023 1035.62 1185.69 20.44 1.26 1.5749900255559406 3.6857881238874164
126 1010.2 1128.07 20.7 1.3 0.9923363335298634 3.689967196714046
1027 1163.97 987.42 19.93 1.44 0.7936012187244412 4.3850892526866465
128 1027.74 946.58 20.44 0.94 0.0292597737385466 4.075021310633434
130 1173.27 1067.02 20.62 1.24 1.1487919830544226 3.546778182872774
131 1028.57 1031.59 20.27 1.2 0.7378313586700755 3.9720777372975693
1032 1245.55 941.49 20.14 1.35 0.9694031900726169 3.7630873160462803
133 1133.75 962.17 20.1 1.47 0.6559145903842141 3.5791669475092465
134 960.92 1041.32 20.08 0.96 0.5263427393592464 3.771188623470558
135 1128.66 878.1 20.18 0.99 0.9637506190211926 3.4036496942649594
1036 1027.97 987.72 19.65 1.23 1.1706858947098486 3.6555319975403524
137 897.19 1051.49 19.74 0.88 0.8342844429703798 3.4544849391391286
138 977.53 1030.88 19.83 0.93 0.756558606860795 3.6076269850886127
139 1042.25 975.57 19.77 1.1 0.9388999263574803 3.8216912588730647
1040 1004.32 1005.37 19.38 1.24 1.1733074276798594 4.123041194481855
1041 1015.96 1016.64 19.33 1.13 1.411109749199571 3.659759117147902
142 1005.3 1024.16 19.84 1.08 1.7923179728764045 3.3849517498545523
1043 1087.91 989.6 18.99 0.94 0.7252208933790778 3.7138448456212063
1044 1076.64 1177.58 19.03 1.23 0.7946274159697438 3.864527395512189
145 947.97 1036.98 19.39 1.23 0.8768250325089021 3.8590344013072557
146 883.91 995.04 19.18 1.05 0.594781115490322 4.356374945271303
1047 1001.27 1066.0 19.09 1.19 0.6671035625158317 3.5589403882999475
1048 1028.95 1181.76 18.99 1.01 1.1598470232864213 3.333207139227284
149 1057.88 1025.47 19.26 1.07 0.8592683922873399 4.128554204337811
1050 1086.7 982.56 18.75 1.13 1.1938140801570754 3.4760135994435206
1051 1018.38 1049.34 18.5 1.08 0.8694204048780643 2.7175170789876595
152 1109.73 997.41 19.06 1.04 1.1307377472797706 3.5852317147672563
153 1051.99 1096.73 19.04 0.97 0.8978720348833865 4.105175218380091
154 1058.68 901.9 18.86 1.06 0.772800859012092 3.7782041879841395
1055 953.49 1029.34 18.36 0.83 1.2679971170925444 3.664295286023103
1056 1104.45 1175.72 18.16 0.88 0.8087351048337843 3.3378681196693085
157 986.51 1158.36 18.81 0.83 1.2447811166861371 3.489418948967736
158 988.26 973.51 18.67 0.8 0.34544144482158046 3.331589595815737
1059 994.86 982.05 18.36 1.0 2.254158878683088 3.7034523753048547
160 1100.02 1208.0 18.63 0.88 1.247466873400543 3.80405604952339
161 1126.12 1131.83 18.57 1.04 1.294526355429571 4.056346143856958
162 1131.8 907.23 18.47 0.91 0.9397352067752306 3.8478135316396314
1063 840.3 1001.69 17.73 0.95 0.7427582349755211 3.554584275463587
1064 1031.65 1013.54 17.94 0.99 1.2869700862900182 4.060210199822699
1065 974.98 882.78 18.02 0.82 1.365618929590929 3.5434362317218566
166 948.93 935.87 18.31 0.84 0.878992678178541 3.5260098962364284
167 1047.74 1073.49 18.31 0.9 1.2616394734774155 3.5008543147186506
168 1008.37 1142.7 18.07 0.84 0.8209643241770068 3.28018838909674
169 924.06 1205.07 18.18 0.8 0.8068127984158509 3.689736614100212
1070 986.63 1039.26 17.6 0.84 1.012914218082848 3.38258092347432
1071 1001.51 945.11 17.55 0.83 1.4208255233220073 3.7251155635685094
1072 873.23 1075.01 17.32 0.79 0.7215927537115252 3.7110230177469212
1073 1010.39 876.1 17.14 0.84 1.4310315195405032 3.995643921618315
174 1095.97 956.81 17.73 0.82 0.9291835132619877 2.9297523069255744
175 1148.21 1064.51 17.79 0.88 1.2415601135290006 3.669952238505958
176 881.0 1027.83 17.6 0.74 1.474557145175837 4.515098453869616
1077 1023.47 1064.12 16.8 0.67 2.005324660232618 3.639425833017189
1078 961.03 1029.47 16.95 0.78 1.1266694580428245 3.2183377018211945
1079 1008.62 951.29 16.77 0.82 1.1873043631478246 4.0081933008531925
1080 992.47 975.39 16.73 0.7 1.334460632259601 4.0621747647164375
1081 1067.23 1115.15 16.57 0.76 1.3431832898132896 3.643361788748225
182 1099.04 945.62 16.8 0.64 0.5720490013633628 3.685984162891837
1083 1129.56 1013.61 16.28 0.72 0.5939688256870816 3.542463964404931
184 985.38 1095.75 16.59 0.75 1.2037122569254142 3.958556391078021
1085 885.92 944.0 15.92 0.69 1.1984130750720208 3.0111071587600513
1086 1186.6 1048.32 15.52 0.69 1.6074564995949059 3.8645961539019407
1087 979.6 1016.8 15.57 0.78 1.5101222779797352 3.5652128826851097
188 1197.13 924.23 15.71 0.73 1.5817119343265618 3.9165704686554257
189 968.43 1061.53 15.56 0.72 1.5189423666598534 3.9479729158747294
190 1118.89 1062.14 15.3 0.64 1.040914605723441 3.901226024290294
1091 1089.28 1139.2 14.17 0.62 0.9298073426939253 3.4635663408673687
