ID x y V BV pmRA pmDE
103 1220.98 1062.79 20.84 1.46 -1.110495916716073 2.716992842128654
1014 1200.78 938.09 20.87 1.48 -2.449300357407797 2.3611477014126554
1015 978.93 930.42 20.46 1.54 -1.8434987713413333 2.9293524139087985
1019 1020.1 892.88 20.67 1.19 -2.5061887028311527 2.0563142940494985
1020 1032.26 1056.5 20.52 1.54 -2.8534156772918684 2.710557287392834
1023 1035.62 1185.69 20.44 1.26 -2.0736966107320076 1.9396981157972337
126 1010.2 1128.07 20.7 1.3 -2.0810656538178383 1.7060739752377758
1027 1163.97 987.42 19.93 1.44 -3.3685628857631738 2.4056254296976483
128 1027.74 946.58 20.44 0.94 -1.4340242578544473 1.0437248986098928
130 1173.27 1067.02 20.62 1.24 -1.5102202181113904 1.7356338255620516
131 1028.57 1031.59 20.27 1.2 -2.4307152210729317 2.6048846137670725
1032 1245.55 941.49 20.14 1.35 -3.1932734803905607 2.443817800128301
133 1133.75 962.17 20.1 1.47 -2.0618614370113364 2.061566731369214
134 960.92 1041.32 20.08 0.96 -0.6717325824122711 2.411816432103344
135 1128.66 878.1 20.18 0.99 -2.2158825505300466 1.1984124261637341
1036 1027.97 987.72 19.65 1.23 -2.021295086380547 1.936150024516102
137 897.19 1051.49 19.74 0.88 -2.263456956423516 2.911546959853352
138 977.53 1030.88 19.83 0.93 -2.1504793082087956 1.877890254538403
139 1042.25 975.57 19.77 1.1 -1.8901651238650756 2.393463989586593
1040 1004.32 1005.37 19.38 1.24 -2.9614154805731845 1.3552238158962968
1041 1015.96 1016.64 19.33 1.13 -1.8902426524256473 1.5512689630610754
142 1005.3 1024.16 19.84 1.08 -2.16502912583596 2.880083041706965
1043 1087.91 989.6 18.99 0.94 -1.5499558670513722 1.7088498649086132
1044 1076.64 1177.58 19.03 1.23 -2.0854787577999008 2.0924005711565723
145 947.97 1036.98 19.39 1.23 -2.060698262873259 1.8755582028850766
146 883.91 995.04 19.18 1.05 -2.828175557591313 1.2108538056197409
1047 1001.27 1066.0 19.09 1.19 -1.9255211248014437 1.3433086202900852
1048 1028.95 1181.76 18.99 1.01 -2.7036590345104736 2.00724548411097
149 1057.88 1025.47 19.26 1.07 -1.7871640816211902 2.273777928298684
1050 1086.7 982.56 18.75 1.13 -1.6425480975131546 2.3979201971477204
1051 1018.38 1049.34 18.5 1.08 -1.84861960785179 2.318071424139834
152 1109.73 997.41 19.06 1.04 -2.067303123993769 1.8615853263981774
153 1051.99 1096.73 19.04 0.97 -2.232735825174933 1.700236701071683
154 1058.68 901.9 18.86 1.06 -3.418443719056415 1.4484050028339812
1055 953.49 1029.34 18.36 0.83 -2.3000738253954367 2.2408871269492727
1056 1104.45 1175.72 18.16 0.88 -2.928903650876835 2.4249384104868374
157 986.51 1158.36 18.81 0.83 -1.633746759993283 1.4925237314808641
158 988.26 973.51 18.67 0.8 -3.1769261371367525 1.6524915321349394
1059 994.86 982.05 18.36 1.0 -2.5213826772527983 2.7838451006197067
160 1100.02 1208.0 18.63 0.88 -1.4961019248909742 1.4748743880431348
161 1126.12 1131.83 18.57 1.04 -2.1666700506870176 1.6894461128260412
162 1131.8 907.23 18.47 0.91 -1.8064277287871073 2.5063085354065264
1063 840.3 1001.69 17.73 0.95 -2.4286296428346943 0.5603623501500541
1064 1031.65 1013.54 17.94 0.99 -1.4943015023259805 2.5178784330323354
1065 974.98 882.78 18.02 0.82 -1.0674275889942988 1.8762722958879159
166 948.93 935.87 18.31 0.84 -2.3971220620766616 1.4937273972553582
167 1047.74 1073.49 18.31 0.9 -2.989591227789008 1.19371574142404
168 1008.37 1142.7 18.07 0.84 -2.8635398119506994 1.5808742161721452
169 924.06 1205.07 18.18 0.8 -2.0231445453740196 2.1279545361445207
1070 986.63 1039.26 17.6 0.84 -2.428036546775504 1.13154411703215
1071 1001.51 945.11 17.55 0.83 -2.5724573706786584 1.8553919662187734
1072 873.23 1075.01 17.32 0.79 -2.4744273017449254 1.9165260197836438
1073 1010.39 876.1 17.14 0.84 -2.4502662067509 2.776195210200578
174 1095.97 956.81 17.73 0.82 -1.1584436940755585 2.3648479207347677
175 1148.21 1064.51 17.79 0.88 -2.4134005360753275 1.5896409829979445
176 881.0 1027.83 17.6 0.74 -1.348942527295228 1.766719856348374
1077 1023.47 1064.12 16.8 0.67 -2.3247740422918874 1.0523627857212547
1078 961.03 1029.47 16.95 0.78 -1.7589553020942572 1.6587882156015856
1079 1008.62 951.29 16.77 0.82 -1.8663064624864663 1.427256081352799
1080 992.47 975.39 16.73 0.7 -2.454442521505289 2.502344535687854
1081 1067.23 1115.15 16.57 0.76 -2.172531333004761 2.506740059917736
182 1099.04 945.62 16.8 0.64 -2.092520325650476 2.476608187977363
1083 1129.56 1013.61 16.28 0.72 -2.0408311489298128 1.5635370006243892
